Class                         Available    Selected
----------------------------------------------------
Apple___Apple_scab                       630          630     
Apple___Black_rot                        621          621     
Apple___Cedar_apple_rust                 275          275     
Apple___healthy                          1645         744     
Blueberry___healthy                      1502         744     
Cherry_(including_sour)___Powdery_mildew 1052         744     
Cherry_(including_sour)___healthy        854          744     
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot 513          513     
Corn_(maize)___Common_rust_              1192         744     
Corn_(maize)___Northern_Leaf_Blight      985          744     
Corn_(maize)___healthy                   1162         744     
Grape___Black_rot                        1180         744     
Grape___Esca_(Black_Measles)             1383         744     
Grape___Leaf_blight_(Isariopsis_Leaf_Spot) 1076         744     
Grape___healthy                          423          423     
Orange___Haunglongbing_(Citrus_greening) 5507         744     
Peach___Bacterial_spot                   2297         744     
Peach___healthy                          360          360     
Pepper,_bell___Bacterial_spot            997          744     
Pepper,_bell___healthy                   1478         744     
Potato___Early_blight                    1000         744     
Potato___Late_blight                     1000         744     
Potato___healthy                         152          152     
Raspberry___healthy                      371          371     
Soybean___healthy                        5090         744     
Squash___Powdery_mildew                  1835         744     
Strawberry___Leaf_scorch                 1109         744     
Strawberry___healthy                     456          456     
Tomato___Bacterial_spot                  2127         744     
Tomato___Early_blight                    1000         744     
Tomato___Late_blight                     1909         744     
Tomato___Leaf_Mold                       952          744     
Tomato___Septoria_leaf_spot              1771         744     
Tomato___Spider_mites Two-spotted_spider_mite 1676         744     
Tomato___Target_Spot                     1404         744     
Tomato___Tomato_Yellow_Leaf_Curl_Virus   5357         744     
Tomato___Tomato_mosaic_virus             373          373     
Tomato___healthy                         1591         744     
